Index,CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Net migration,Belgium,BEL,,,38304,,,,,47288,,,,,70980,,,,,73523,,,,,18478,,,,,42556,,,,,106947,,,,,50870,,,,,219560,,,,,294270,,,,,258672,,,,,240000
Population,Belgium,BEL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11382393
GDP per capita,Benin,BEN,93.02250899,95.57215471,94.46453498,99.85911389,104.339768,110.1327938,112.9408364,111.9516019,116.895066,116.0250943,114.5565965,112.5700891,134.8194079,161.9873737,174.0141491,207.3004397,208.6561538,218.4543658,263.5810576,327.821678,378.0438983,337.9781947,322.7776995,271.1292402,252.869785,244.4109989,303.3488979,344.5030708,346.7360377,311.6783039,393.6862144,385.753616,317.9628553,411.9260305,279.6665043,367.387341,387.4329246,361.1002698,379.442354,403.6237038,374.1923942,378.736054,418.6985763,519.2922847,583.4093514,601.799977,625.830092,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.3281554,943.686575,783.9630778,788.5324424,827.3936794
Life expectancy,Benin,BEN,37.271,37.727,38.188,38.655,39.13,39.615,40.109,40.61,41.117,41.63,42.152,42.684,43.229,43.781,44.337,44.882,45.399,45.883,46.335,46.764,47.19,47.643,48.145,48.71,49.339,50.034,50.79,51.581,52.372,53.132,53.812,54.366,54.776,55.042,55.174,55.203,55.17,55.133,55.139,55.218,55.391,55.668,56.025,56.436,56.887,57.355,57.817,58.255,58.654,59.009,59.319,59.595,59.855,60.113,60.373,60.639,60.907,61.171
Net migration,Benin,BEN,,,-24295,,,,,-23742,,,,,-24845,,,,,-19393,,,,,-10848,,,,,-8723,,,,,68259,,,,,-2851,,,,,25005,,,,,-48776,,,,,-42268,,,,,-10000
Population,Benin,BEN,2431622,2465867,2502896,2542859,2585965,2632356,2682159,2735307,2791590,2850661,2912340,2976572,3043567,3113675,3187412,3265165,3347173,3433439,3523938,3618526,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692
GDP per capita,Burkina Faso,BFA,68.42474857,71.55818009,76.5206114,78.37207194,80.47276675,81.7251155,82.54563689,84.36316494,84.73304935,86.52021111,81.49989868,84.28781501,99.32676402,113.7805843,124.3590305,152.7282201,155.648998,176.7833677,225.9416525,262.0760096,282.6857353,254.2307807,245.0947024,217.9947508,193.8432403,200.8944225,256.7623188,291.1319639,313.0618911,304.8534388,351.9793229,346.4106724,240.963481,244.1270735,193.0702363,235.8321973,249.3602944,229.4931177,255.7182334,265.3401156,226.4759814,235.4912324,260.7635413,332.3443051,371.3230865,406.9988071,420.5825233,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,583.8308982,642.0371483
Life expectancy,Burkina Faso,BFA,34.432,34.897,35.369,35.847,36.331,36.815,37.291,37.754,38.207,38.652,39.095,39.542,40.003,40.493,41.025,41.63,42.343,43.166,44.081,45.06,46.049,46.984,47.81,48.486,48.992,49.323,49.492,49.55,49.545,49.505,49.454,49.409,49.374,49.36,49.38,49.445,49.557,49.713,49.914,50.168,50.489,50.893,51.384,51.956,52.602,53.31,54.063,54.841,55.618,56.376,57.096,57.762,58.377,58.942,59.457,59.927,60.361,60.77
Net migration,Burkina Faso,BFA,,,-144723,,,,,-144723,,,,,-170263,,,,,-217400,,,,,-217400,,,,,-183699,,,,,-150001,,,,,-137499,,,,,-125000,,,,,-125000,,,,,-125000,,,,,-125000
Population,Burkina Faso,BFA,4829288,4894580,4960326,5027821,5098890,5174870,5256363,5343019,5434041,5528174,5624600,5723381,5825173,5930483,6040041,6154545,6274037,6398935,6530819,6671656,6822843,6985160,7158255,7340905,7531242,7727907,7930694,8140073,8356305,8579823,8811034,9050084,9297113,9552476,9816588,10089878,10372745,10665546,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382
GDP per capita,Bangladesh,BGD,88.69121063,97.14273018,99.57671365,101.2604912,99.50386427,105.7891703,111.6586395,121.6620934,121.5288977,133.5754367,138.2479647,131.7557632,93.02487011,117.7258149,179.045065,272.7451978,138.5922339,128.8092611,172.414696,196.4426256,222.6323509,241.8703692,215.3932576,199.3366454,208.5346351,239.0392205,227.4230256,247.072312,263.2227905,277.8178391,297.5679945,284.7256059,285.0955051,291.7144894,290.6524529,319.6087004,382.9357636,389.5236314,395.2974607,397.3548219,405.6033071,402.5981152,400.6135745,432.7388972,460.7579167,484.1554071,494.0501466,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158849,1358.779186,1516.51327
Life expectancy,Bangladesh,BGD,45.831,46.46,47.086,47.694,48.257,48.69,48.895,48.838,48.535,48.05,47.523,47.136,47.031,47.291,47.925,48.865,49.981,51.098,52.082,52.878,53.478,53.917,54.292,54.678,55.102,55.578,56.102,56.654,57.22,57.8,58.401,59.033,59.7,60.4,61.127,61.868,62.61,63.338,64.038,64.702,65.324,65.903,66.448,66.965,67.46,67.937,68.403,68.861,69.312,69.759,70.198,70.626,71.039,71.431,71.803,72.155,72.489,72.808
Net migration,Bangladesh,BGD,,,-142378,,,,,-161822,,,,,-2977854,,,,,-1076732,,,,,-787467,,,,,-219363,,,,,-798161,,,,,-756121,,,,,-1541457,,,,,-3570954,,,,,-2526483,,,,,-2350001
Population,Bangladesh,BGD,48199747,49592802,51030137,52532417,54129100,55834038,57672990,59620669,61579473,63417394,65047770,66424744,67597470,68691185,69884420,71305923,72999136,74925896,77033846,79236776,81470860,83721268,86007331,88338242,90732362,93199865,95742431,98343809,100975321,103599232,106188642,108727432,111221938,113695139,116182267,118706871,121269645,123854640,126447965,129029691,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751
GDP per capita,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,1554.046931,1208.875103,1346.910553,1809.683845,1648.104859,1609.882452,1757.44378,2076.830682,2698.624248,3363.799644,3869.529455,4490.201777,5885.949252,7261.754492,6969.558557,6843.26695,7813.806692,7378.02473,7646.839866,7864.760672,6993.783483,7469.455638,8228.01157
Life expectancy,Bulgaria,BGR,69.24756098,70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,74.31463415,74.86097561,74.46585366,74.61463415,74.81219512,74.81219512
Net migration,Bulgaria,BGR,,,-1437,,,,,-6423,,,,,-43396,,,,,-94868,,,,,-22346,,,,,-184143,,,,,-356464,,,,,-133824,,,,,-85500,,,,,-83742,,,,,-24472,,,,,-24001
Population,Bulgaria,BGR,7867374,7943118,8012946,8078145,8144340,8204168,8258057,8310226,8369603,8434172,8489574,8536395,8576200,8620967,8678745,8720742,8758599,8804183,8814032,8825940,8861535,8891117,8917457,8939738,8960679,8960547,8958171,8971359,8981446,8876972,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947
GDP per capita,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,8537.929379,9269.269617,9446.158002,9421.285655,9590.683099,8706.725084,7041.56947,7555.066809,7958.679492,8030.85458,8528.983334,9055.591114,9082.741169,9698.134804,10130.41307,10376.93489,10544.66713,10672.18394,10076.18778,10401.48045,13636.34668,12868.211,13102.33457,14221.99259,15846.47641,17959.17854,19307.99549,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22628.95679,23739.15717
Life expectancy,Bahrain,BHR,51.868,53.234,54.589,55.91,57.181,58.387,59.523,60.595,61.608,62.559,63.448,64.274,65.042,65.757,66.421,67.04,67.616,68.152,68.651,69.117,69.55,69.95,70.316,70.65,70.956,71.237,71.495,71.735,71.962,72.179,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9,77.038
Net migration,Bahrain,BHR,,,-4195,,,,,-8033,,,,,19123,,,,,48962,,,,,3234,,,,,12899,,,,,5480,,,,,39180,,,,,155500,,,,,272000,,,,,42000,,,,,235000
Population,Bahrain,BHR,162427,167894,173144,178140,182887,187431,191780,196063,200653,206043,212605,220312,229155,239527,251911,266543,283752,303175,323473,342798,359888,374120,385950,396454,407227,419430,433482,448973,465202,481090,495931,509765,523087,536213,549588,563699,578668,594930,613702,636545,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584
GDP per capita,"Bahamas, The",BHS,1550.324315,1651.475477,1752.970293,1867.112988,1994.54492,2144.830971,2322.943853,2556.835301,2804.705131,3215.486672,3179.276272,3297.998999,3322.668256,3696.66314,3416.550062,3156.468059,3328.633192,3617.251193,4130.75087,5532.150831,6338.619868,6622.685658,7165.134491,7694.937985,8873.769102,9888.48935,10339.52102,11150.69004,11381.82156,12158.07885,12350.97684,11914.85776,11682.08496,11402.65152,11812.46489,12239.8715,12717.15001,22066.27871,23557.95353,26173.71548,27112.2562,27439.3587,28727.02219,28092.48573,28076.1551,29874.65414,30274.99032,31018.02949,30188.48444,28129.6075,27979.11493,27472.25617,28815.5274,28171.986,28671.34697,30483.8201,30260.30591,30762.01244
Life expectancy,"Bahamas, The",BHS,62.881,63.22,63.551,63.873,64.189,64.498,64.8,65.095,65.383,65.665,65.943,66.218,66.49,66.759,67.027,67.291,67.55,67.803,68.05,68.29,68.524,68.755,68.984,69.212,69.438,69.663,69.886,70.104,70.316,70.518,70.705,70.869,71.01,71.131,71.239,71.351,71.482,71.646,71.85,72.093,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675,75.823
Net migration,"Bahamas, The",BHS,,,14357,,,,,14080,,,,,887,,,,,2791,,,,,180,,,,,-1099,,,,,-395,,,,,-3097,,,,,15483,,,,,14363,,,,,9672,,,,,5000
Population,"Bahamas, The",BHS,109528,115108,121083,127333,133698,140054,146366,152609,158627,164248,169354,173863,177839,181488,185099,188882,192902,197111,201513,206032,210661,215396,220275,225187,230015,234687,239131,243393,247579,251849,256336,261116,266134,271165,275895,280150,283790,286970,290060,293572,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361
GDP per capita,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0200012,485.6172767,736.9753294,978.516728,1097.644555,1246.497114,1461.75052,1524.412022,1761.537647,2214.732246,2802.274917,2967.834056,3403.815297,4180.913532,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.636043,5148.208517
Life expectancy,Bosnia and Herzegovina,BIH,60.353,61.019,61.646,62.243,62.818,63.381,63.94,64.499,65.059,65.621,66.187,66.756,67.32,67.867,68.39,68.872,69.296,69.657,69.954,70.193,70.399,70.601,70.82,71.061,71.315,71.534,71.65,71.626,71.461,71.185,70.877,70.645,70.577,70.724,71.091,71.643,72.306,72.977,73.572,74.057,74.413,74.653,74.824,74.967,75.096,75.223,75.353,75.486,75.619,75.758,75.905,76.06,76.223,76.39,76.561,76.735,76.911,77.087
Net migration,Bosnia and Herzegovina,BIH,,,-50002,,,,,-96958,,,,,-82247,,,,,-74132,,,,,-29999,,,,,-134587,,,,,-726484,,,,,-159283,,,,,-6000,,,,,-59246,,,,,-161371,,,,,-2506
Population,Bosnia and Herzegovina,BIH,3225668,3288602,3353226,3417574,3478995,3535640,3586634,3632669,3675452,3717466,3760527,3805285,3851151,3897255,3942223,3985103,4025265,4063191,4100350,4138819,4179855,4222511,4265310,4308106,4350746,4392130,4435504,4478519,4508056,4506653,4463422,4371603,4239154,4087999,3948816,3843712,3780378,3752431,3750485,3759118,3766706,3771284,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017
GDP per capita,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.840514,1765.744556,1667.681777,1590.095882,1460.059076,1370.676559,1452.445488,1396.501786,1511.770053,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5351.355382,6181.399916,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5025.405064,5733.30721
Life expectancy,Belarus,BLR,67.70809756,68.21265854,68.63582927,68.99207317,69.28992683,69.53741463,69.73460976,69.88165854,69.98263415,70.04514634,70.0792439,70.093,70.09241463,70.08243902,70.06807317,70.04826829,70.01590244,69.96741463,69.90631707,69.84163415,69.80202439,69.81917073,69.90821951,70.06465854,70.27192683,70.99268293,71.5495122,70.9902439,71.34146341,71.48292683,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829
Net migration,Belarus,BLR,,,-125387,,,,,65585,,,,,37146,,,,,38298,,,,,47114,,,,,-23021,,,,,-63057,,,,,56146,,,,,-6382,,,,,63933,,,,,75799,,,,,10000
Population,Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264
GDP per capita,Belize,BLZ,304.9171073,316.4036061,327.1268675,336.9414661,351.1611263,377.5943052,406.0979671,420.4318882,386.953237,396.6543063,435.6904694,474.4442162,519.5635077,605.9334407,786.069092,885.9845291,717.0401829,858.8280811,980.8225093,1074.271965,1373.093007,1328.828149,1202.682026,1232.837378,1336.98759,1289.367289,1366.04973,1612.451575,1787.951383,2011.968729,2197.185023,2326.845903,2666.977671,2833.061341,2880.211133,2996.382928,3001.665138,2952.602141,2991.924971,3065.492248,3364.423711,3419.275719,3556.561825,3679.909523,3831.538019,3933.262143,4187.290497,4324.773045,4470.220796,4253.246753,4342.963173,4515.892701,4644.559565,4673.245037,4813.718033,4905.536645,4923.358922,4971.201636
Life expectancy,Belize,BLZ,59.981,60.531,61.092,61.663,62.241,62.823,63.402,63.971,64.525,65.058,65.566,66.047,66.504,66.939,67.354,67.751,68.135,68.509,68.874,69.229,69.577,69.921,70.257,70.575,70.865,71.11,71.294,71.405,71.437,71.386,71.246,71.011,70.696,70.325,69.922,69.517,69.143,68.82,68.568,68.4,68.329,68.356,68.46,68.619,68.815,69.023,69.218,69.385,69.517,69.611,69.676,69.731,69.798,69.895,70.027,70.192,70.384,70.588
Net migration,Belize,BLZ,,,-2418,,,,,-2957,,,,,-10665,,,,,-13542,,,,,-5332,,,,,-5404,,,,,-9011,,,,,11909,,,,,5797,,,,,8722,,,,,7594,,,,,6832
Population,Belize,BLZ,92064,94703,97384,100164,103069,106119,109347,112692,116061,119261,122182,124793,127150,129294,131307,133260,135147,136989,138965,141305,144155,147566,151500,155822,160347,164921,169568,174320,179028,183469,187552,191126,194317,197616,201674,206963,213676,221606,230284,239026,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681
GDP per capita,Bermuda,BMU,1902.402119,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,,
Life expectancy,Bermuda,BMU,,,,,,68.89780488,,,,,70.29,,,,,,,,,,72.30463415,,,,,,,,,,,74.0295122,,,,,,,,,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122
Net migration,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population,Bermuda,BMU,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441
GDP per capita,Bolivia,BOL,101.2277044,108.0225195,115.8556405,122.3505396,135.1818613,148.4740798,161.1474645,178.3775746,198.4041998,210.6289052,225.7109354,238.1482935,267.6869789,263.2001973,428.4328638,480.0507642,533.6080314,616.667074,702.4289173,808.4191206,809.8856895,1028.215905,957.5520121,909.8116366,1013.80414,865.6901106,624.5512323,668.80168,697.3705601,701.4646141,709.9488612,764.1413321,791.3804293,788.3990281,806.2214519,887.4685243,958.4737662,1006.964739,1058.71875,1012.509773,1007.002869,958.2366524,913.5756423,917.3643105,978.3346485,1046.427384,1233.591869,1389.62935,1736.930084,1776.866476,1981.170116,2377.688771,2645.227753,2947.938526,3124.00031,3077.026199,3117.330459,3393.955818
Life expectancy,Bolivia,BOL,42.138,42.454,42.778,43.11,43.451,43.8,44.157,44.523,44.898,45.28,45.671,46.07,46.477,46.892,47.315,47.745,48.183,48.629,49.082,49.543,50.012,50.489,50.974,51.466,51.965,52.472,52.986,53.507,54.034,54.566,55.104,55.647,56.195,56.747,57.303,57.862,58.423,58.987,59.554,60.122,60.69,61.26,61.829,62.399,62.968,63.538,64.113,64.692,65.272,65.847,66.408,66.945,67.451,67.922,68.357,68.756,69.125,69.473
Net migration,Bolivia,BOL,,,-34003,,,,,-37001,,,,,-42998,,,,,-60007,,,,,-87002,,,,,-106998,,,,,-90997,,,,,-83002,,,,,-89995,,,,,-84003,,,,,-61794,,,,,-50005
Population,Bolivia,BOL,3693449,3764813,3838097,3913395,3990857,4070590,4152668,4237125,4324064,4413590,4505778,4600591,4698083,4798509,4902168,5009257,5119833,5233677,5350322,5469123,5589575,5711599,5835182,5959960,6085496,6211550,6337893,6464732,6592787,6723046,6856244,6992521,7131707,7273825,7418861,7566714,7717443,7870855,8026254,8182712,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600
